v2 on node=slurm2-a3nodeset1-2 jid=18104 at 09:13:06
=== iostat -x 5x8 (serving) 10:30:37 ===
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md127           37.54   5063.01     0.00   0.00    0.57   134.87  750.43  17404.14     0.00   0.00    2.64    23.19    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.01   2.36
nvme0n1          0.18      5.67     0.04  16.32    0.97    31.31   10.03    385.21     6.45  39.15    2.66    38.41    0.31   1227.52     0.00   0.00    0.37  3908.46    0.38    0.04    0.03   0.20
nvme10n1         2.35    344.20     0.14   5.50    0.56   146.33   14.65   1089.76    36.73  71.48    4.24    74.37   90.72 260259.53     0.00   0.00    0.43  2868.92    6.90    0.08    0.10   4.46
nvme11n1         2.24    334.95     0.12   5.21    0.59   149.83   14.55   1065.69    35.49  70.92    3.95    73.23   91.50 262109.85     0.00   0.00    0.43  2864.60    6.90    0.10    0.10   4.48
nvme12n1         2.18    321.27     0.08   3.54    0.59   147.56   14.31   1074.44    34.35  70.58    3.99    75.06   92.15 263831.16     0.00   0.00    0.43  2863.21    6.90    0.12    0.10   4.37
nvme13n1         2.18    320.96     0.24   9.96    0.58   147.52   15.32   1101.50    41.04  72.81    4.14    71.89   86.85 250633.31     0.00   0.00    0.46  2885.98    6.90    0.11    0.11   4.40
nvme14n1         2.20    324.59     0.07   3.02    0.58   147.42   14.16   1055.68    34.08  70.65    3.99    74.58   92.92 265470.11     0.00   0.00    0.42  2856.82    6.90    0.08    0.10   4.41
nvme15n1         2.32    321.03     0.26  10.18    0.57   138.55   14.86   1090.45    40.73  73.27    4.20    73.40   87.78 252672.49     0.00   0.00    0.45  2878.41    6.90    0.08    0.10   4.40
nvme16n1         2.38    328.50     0.23   8.90    0.53   138.10   14.97   1064.70    40.68  73.10    3.95    71.10   88.66 254744.08     0.00   0.00    0.44  2873.35    6.90    0.12    0.10   4.36
nvme1n1          1.95    290.22     0.20   9.23    0.69   148.62   22.77   1152.56    40.31  63.90    3.35    50.62   81.66 239005.84     0.00   0.00    0.30  2926.84    6.90    0.10    0.10   2.87
nvme2n1          2.18    324.99     0.06   2.88    0.50   149.31   14.07   1043.12    34.06  70.77    3.67    74.15   93.43 266974.58     0.00   0.00    0.41  2857.55    6.90    0.11    0.09   4.24
nvme3n1          2.11    317.86     0.11   4.93    0.52   150.58   14.07    989.08    34.34  70.94    2.93    70.32   94.21 268329.45     0.00   0.00    0.42  2848.20    6.90    0.08    0.08   4.39
nvme4n1          1.87    239.79     0.25  11.60    0.50   128.12   15.47   1122.46    41.43  72.81    4.08    72.56   83.84 243834.66     0.00   0.00    0.38  2908.50    6.90    0.12    0.10   3.64
nvme5n1          1.99    298.49     0.22  10.08    0.54   149.83   15.42   1104.84    41.27  72.80    4.02    71.64   84.96 246211.00     0.00   0.00    0.42  2898.04    6.90    0.13    0.10   4.05
nvme6n1          2.13    318.49     0.23   9.74    0.57   149.35   15.41   1112.27    41.19  72.78    4.18    72.18   85.79 248372.13     0.00   0.00    0.45  2895.01    6.90    0.10    0.11   4.32
nvme7n1          1.96    288.24     0.22  10.11    0.54   147.35   15.44   1121.07    41.46  72.87    3.99    72.60   82.55 241424.70     0.00   0.00    0.33  2924.43    6.90    0.11    0.09   3.17
nvme8n1          2.34    343.90     0.24   9.23    0.49   146.76   14.80   1115.81    40.57  73.27    4.35    75.40   89.02 256461.64     0.00   0.00    0.42  2880.79    6.90    0.09    0.10   4.16
nvme9n1          2.32    345.54     0.17   6.81    0.53   148.83   14.75   1100.72    38.12  72.10    4.30    74.61   89.91 258404.27     0.00   0.00    0.43  2874.10    6.90    0.10    0.10   4.40
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md127            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00   15.40    149.60     5.80  27.36    0.73     9.71    0.40      3.20     0.00   0.00    0.00     8.00    0.20    0.00    0.01   0.26
nvme10n1         0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme13n1         0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme14n1         0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
